Species,Fishing.Area,Month,Weight.g,Length.cm,Width.cm,Height.cm,Age.years,Quality.Score,Season.Availability,Cost.TL,Wind.Speed.kmh,Sea.Surface.Temp.C,Active.Fishing.Days,Production.Volume.tonnes,Fishing.Ban.Flag,Price.TL
Palamut (Bonito),Black Sea,4,783.62,46.31,6.18,5.67,18,89.45,0.47,63.94,40.2,11.37,15,1969.01,0,255.74
İstavrit (Horse Mackerel),Marmara Sea,11,342.23,21.28,2.94,2.64,16,70.08,0.62,49.24,28.29,13.0,17,2438.46,0,220.26
Lüfer (Bluefish),Aegean Sea,3,639.55,38.14,5.08,5.58,5,92.31,0.5,70.95,63.46,13.93,10,1401.95,0,306.34
Palamut (Bonito),Black Sea,2,617.92,37.09,4.8,4.89,15,81.36,0.36,59.93,78.06,9.04,10,830.86,0,184.12
Çipura (Sea Bream),Black Sea,10,467.29,28.4,3.27,3.58,1,100.0,0.52,44.12,53.13,9.32,12,1581.16,0,335.05
Palamut (Bonito),Marmara Sea,3,748.54,41.55,5.57,5.08,15,88.22,0.69,66.07,41.41,16.08,15,2506.68,0,341.18
Çipura (Sea Bream),Mediterranean Sea,7,496.42,29.53,3.55,3.36,10,65.21,0.82,62.27,35.93,19.51,19,1897.37,0,301.1
Palamut (Bonito),Black Sea,2,742.55,43.6,6.42,5.68,19,85.85,0.6,59.84,50.73,11.72,14,1218.91,0,226.39
Kalkan (Turbot),Black Sea,8,737.43,44.24,5.99,5.79,19,90.13,0.6,71.96,74.55,18.06,10,1704.2,0,267.82
Çipura (Sea Bream),Aegean Sea,4,504.52,28.19,4.03,4.17,15,84.3,0.45,59.04,79.01,17.77,10,1075.0,0,221.44
Çipura (Sea Bream),Mediterranean Sea,3,439.1,25.1,3.72,2.8,16,89.75,0.74,61.28,45.59,22.14,17,2047.07,0,248.97
Çipura (Sea Bream),Black Sea,1,549.4,34.21,4.06,3.91,13,76.51,0.7,63.76,7.74,17.94,26,4759.57,0,237.21
Palamut (Bonito),Aegean Sea,3,562.02,30.59,5.0,4.03,10,83.88,0.32,66.83,24.55,18.73,23,4935.39,0,180.0
Palamut (Bonito),Black Sea,4,563.88,34.27,4.39,4.83,7,94.56,0.47,53.94,14.48,18.25,26,4341.01,0,262.15
Kalkan (Turbot),Mediterranean Sea,10,732.37,41.38,6.22,5.69,14,82.65,0.7,57.64,32.83,16.83,19,1791.69,0,320.04
Kalkan (Turbot),Marmara Sea,2,795.35,45.51,6.43,6.2,3,95.56,0.59,58.0,12.19,12.15,27,2904.56,0,394.05
Kalkan (Turbot),Black Sea,10,635.03,35.08,4.99,4.27,17,96.75,0.36,60.53,54.22,11.47,12,2035.6,0,235.51
Hamsi (Anchovy),Marmara Sea,2,167.75,10.29,2.14,0.43,3,90.81,0.91,41.71,5.92,12.68,28,3600.02,0,341.61
İstavrit (Horse Mackerel),Aegean Sea,8,261.52,12.32,2.45,1.29,13,80.33,0.68,42.73,62.13,17.7,12,1216.61,0,278.14
Lüfer (Bluefish),Aegean Sea,9,578.72,35.13,4.28,4.77,18,96.91,0.85,52.58,79.2,22.93,10,1611.03,0,351.08
Levrek (Sea Bass),Marmara Sea,5,645.41,39.85,5.2,5.44,2,80.88,0.65,66.89,51.54,24.42,14,2447.15,0,380.16
Hamsi (Anchovy),Marmara Sea,8,141.0,9.75,1.13,1.43,17,76.97,0.66,45.52,65.48,23.47,10,713.01,0,180.0
Palamut (Bonito),Aegean Sea,11,535.08,29.64,3.9,4.6,13,93.8,0.44,50.49,62.07,23.56,10,926.67,0,211.61
Çipura (Sea Bream),Marmara Sea,11,518.73,31.32,4.02,4.28,7,90.33,0.64,55.26,52.16,21.88,14,1311.97,0,354.61
Levrek (Sea Bass),Marmara Sea,12,425.38,22.86,3.7,3.12,19,79.64,0.73,41.26,65.72,14.99,13,1747.84,0,293.28
Çipura (Sea Bream),Aegean Sea,6,360.36,22.14,2.68,2.89,7,85.08,0.94,53.66,75.61,16.82,10,1198.77,0,414.0
Levrek (Sea Bass),Black Sea,4,591.77,34.07,3.85,4.68,12,80.23,0.56,52.24,44.96,8.65,17,1282.19,0,268.19
Palamut (Bonito),Aegean Sea,5,593.8,35.31,4.04,4.74,17,81.65,0.68,62.62,22.33,21.11,22,2860.18,0,237.23
Lüfer (Bluefish),Black Sea,4,459.25,28.58,3.86,3.95,10,80.91,0.46,39.66,22.16,16.15,22,3218.62,0,219.21
İstavrit (Horse Mackerel),Marmara Sea,10,335.04,20.22,3.43,3.59,11,76.6,0.37,51.54,26.35,20.96,23,4894.47,0,180.0
Lüfer (Bluefish),Mediterranean Sea,6,685.72,40.53,5.63,5.02,4,95.16,0.62,73.01,13.64,25.9,27,3850.5,0,328.39
Kalkan (Turbot),Marmara Sea,12,645.89,38.2,5.55,5.09,12,80.39,0.7,68.24,42.51,14.58,20,2355.46,0,282.75
Palamut (Bonito),Black Sea,12,614.88,36.09,4.55,4.67,15,81.43,0.52,57.45,62.55,21.84,13,1319.85,0,245.13
Kalkan (Turbot),Marmara Sea,8,689.68,40.54,5.68,5.51,11,96.48,0.64,49.5,8.91,16.66,28,5000.0,0,310.83
Çipura (Sea Bream),Marmara Sea,1,397.41,26.7,3.11,3.59,2,86.61,0.41,50.08,52.98,15.85,13,1895.13,0,269.26
İstavrit (Horse Mackerel),Aegean Sea,9,225.67,13.16,2.7,1.86,11,89.43,0.68,30.6,23.93,22.11,24,2121.82,0,234.91
Çipura (Sea Bream),Marmara Sea,5,446.45,28.88,3.89,3.02,12,81.09,0.4,38.55,60.15,21.91,14,1342.63,0,180.0
Levrek (Sea Bass),Aegean Sea,12,440.43,26.15,2.99,2.73,10,93.93,0.31,55.21,45.77,20.75,14,1208.33,0,217.46
Palamut (Bonito),Aegean Sea,6,690.19,42.61,5.26,5.44,3,100.0,0.51,71.32,40.26,16.13,13,968.35,1,376.02
Hamsi (Anchovy),Mediterranean Sea,3,158.38,10.19,1.41,1.27,1,83.57,0.68,32.16,53.13,23.11,10,1612.26,0,269.94
Palamut (Bonito),Marmara Sea,8,775.19,41.15,5.72,5.8,15,87.6,0.71,65.99,71.33,21.03,10,1147.55,1,369.48
Lüfer (Bluefish),Black Sea,1,695.01,39.0,5.23,5.21,4,94.0,0.65,50.35,33.09,15.27,18,1605.33,0,339.85
Kalkan (Turbot),Black Sea,11,622.88,36.39,4.71,4.67,3,87.6,0.61,55.09,74.4,15.31,10,1211.12,0,357.53
İstavrit (Horse Mackerel),Mediterranean Sea,10,280.47,17.71,3.3,2.03,6,90.95,0.37,46.04,48.46,22.81,11,1964.63,0,191.06
Levrek (Sea Bass),Marmara Sea,10,544.06,31.81,4.43,4.33,10,91.02,0.53,49.28,32.94,18.94,19,1656.32,0,294.34
Levrek (Sea Bass),Black Sea,9,618.34,36.2,4.16,4.72,2,100.0,0.59,59.64,32.7,21.95,21,4609.1,0,304.07
Kalkan (Turbot),Black Sea,2,606.05,32.6,4.16,4.88,10,86.83,0.66,64.72,24.17,8.21,21,1618.59,0,315.16
Kalkan (Turbot),Mediterranean Sea,5,748.73,41.53,5.55,4.65,14,80.24,0.35,61.69,40.33,26.06,12,819.73,0,209.02
Hamsi (Anchovy),Aegean Sea,6,121.35,6.07,1.53,0.74,18,82.84,0.43,36.84,41.18,17.44,17,1634.6,0,180.0
Lüfer (Bluefish),Mediterranean Sea,6,484.34,28.65,4.14,3.82,12,78.64,0.39,44.98,26.55,17.21,20,2361.7,0,216.89
Kalkan (Turbot),Aegean Sea,11,696.04,38.55,5.03,4.86,12,93.43,0.44,57.15,69.5,22.6,10,1093.13,0,220.91
Kalkan (Turbot),Marmara Sea,4,787.58,43.19,6.03,6.49,4,100.0,0.44,77.04,53.35,18.16,12,1877.9,0,331.79
Levrek (Sea Bass),Black Sea,12,699.58,36.1,5.72,5.14,14,87.33,0.63,52.47,75.96,9.91,10,1714.5,0,245.22
İstavrit (Horse Mackerel),Marmara Sea,12,251.86,16.45,2.31,2.6,15,85.84,0.58,30.48,38.23,17.44,16,3304.92,0,188.56
Lüfer (Bluefish),Mediterranean Sea,7,600.52,34.34,4.79,4.49,15,94.93,0.52,49.58,57.18,19.03,15,1800.47,1,268.5
Kalkan (Turbot),Black Sea,5,600.54,35.4,4.49,5.12,12,85.03,0.49,55.93,59.75,20.43,14,1604.91,0,258.62
Çipura (Sea Bream),Marmara Sea,3,369.74,22.78,3.31,3.75,3,100.0,0.35,34.24,66.6,21.96,10,1221.11,0,277.93
Kalkan (Turbot),Black Sea,9,655.95,37.15,5.19,5.37,19,75.08,0.66,68.09,20.21,18.71,24,2268.02,0,245.62
Kalkan (Turbot),Black Sea,8,791.53,46.9,5.06,5.85,11,98.2,0.64,75.45,14.07,14.07,25,4655.95,0,349.67
Kalkan (Turbot),Aegean Sea,10,761.62,43.44,6.32,6.19,4,87.41,0.68,64.87,6.53,20.88,28,4549.64,0,320.4
İstavrit (Horse Mackerel),Marmara Sea,2,334.75,22.42,2.55,2.83,19,99.48,0.4,44.22,30.39,20.84,21,3550.83,0,180.0
Palamut (Bonito),Marmara Sea,4,754.55,43.36,6.19,6.22,10,85.28,0.44,71.72,24.83,23.63,20,3427.35,0,251.04
İstavrit (Horse Mackerel),Mediterranean Sea,7,245.08,15.46,1.56,1.5,3,96.57,0.56,47.07,19.51,19.53,25,4263.64,0,246.7
Çipura (Sea Bream),Aegean Sea,10,520.03,29.35,4.44,4.32,7,92.5,0.74,49.91,15.76,13.82,24,3539.95,0,348.06
Lüfer (Bluefish),Marmara Sea,5,659.82,38.33,5.43,5.65,13,94.44,0.6,63.16,25.17,13.38,21,1544.64,0,329.01
Hamsi (Anchovy),Marmara Sea,3,141.72,11.21,1.0,0.86,18,72.82,0.6,45.76,22.21,17.0,26,4446.2,0,180.0
Çipura (Sea Bream),Marmara Sea,6,499.88,27.98,3.57,3.93,16,93.02,0.97,58.23,52.31,17.51,14,1540.4,0,432.95
Lüfer (Bluefish),Mediterranean Sea,8,614.8,34.71,4.69,4.85,10,86.5,0.74,46.52,7.61,24.65,28,2919.52,0,321.8
Lüfer (Bluefish),Aegean Sea,5,496.54,32.8,4.39,3.84,9,92.0,0.55,62.51,37.46,15.19,18,2876.38,0,294.74
Palamut (Bonito),Black Sea,9,711.54,40.13,5.34,5.87,10,100.0,0.49,51.09,65.42,17.46,10,1117.97,0,309.15
Lüfer (Bluefish),Black Sea,9,689.92,38.03,5.86,5.5,15,93.68,0.92,66.91,22.16,17.9,24,4511.11,0,351.93
Palamut (Bonito),Marmara Sea,12,603.88,33.63,4.93,4.53,17,73.81,0.53,69.21,62.07,23.29,13,2154.79,0,229.27
Hamsi (Anchovy),Mediterranean Sea,11,109.63,8.03,1.37,1.01,13,98.34,0.82,33.02,79.82,23.15,10,991.95,0,346.23
Levrek (Sea Bass),Mediterranean Sea,7,694.58,39.89,5.99,5.59,4,87.65,0.58,63.57,77.81,27.03,10,1552.16,1,355.06
Lüfer (Bluefish),Aegean Sea,5,576.47,34.62,4.69,4.85,8,92.58,0.5,67.34,36.15,23.8,22,3174.69,0,303.49
Hamsi (Anchovy),Aegean Sea,4,167.8,11.95,1.92,1.23,9,81.38,0.52,28.62,25.54,18.61,21,3179.65,0,197.13
Çipura (Sea Bream),Aegean Sea,3,491.76,30.16,3.86,4.26,1,100.0,0.31,47.74,72.43,15.23,10,1580.75,0,308.54
Levrek (Sea Bass),Mediterranean Sea,12,425.92,22.92,3.75,3.08,1,95.75,0.31,44.0,13.15,18.43,26,4025.93,0,217.19
Kalkan (Turbot),Aegean Sea,10,601.3,35.47,4.81,4.77,9,90.66,0.37,46.88,18.68,22.27,24,4194.22,0,236.9
Levrek (Sea Bass),Black Sea,5,561.58,31.29,4.26,5.3,9,90.84,0.62,65.33,46.38,8.95,13,2363.21,0,313.68
Levrek (Sea Bass),Mediterranean Sea,8,594.53,34.11,4.29,4.21,19,85.95,0.7,55.87,63.41,17.64,11,1200.92,0,256.62
Palamut (Bonito),Aegean Sea,10,754.44,43.63,5.34,5.71,9,95.29,0.47,65.03,17.9,21.67,22,2019.33,0,320.94
İstavrit (Horse Mackerel),Mediterranean Sea,2,294.43,16.51,2.82,2.04,19,70.8,0.47,47.2,57.09,19.62,14,1463.29,0,180.0
Lüfer (Bluefish),Aegean Sea,5,624.31,37.58,5.37,4.43,1,89.41,0.53,66.97,57.63,19.18,16,1460.11,0,373.79
Palamut (Bonito),Black Sea,12,775.19,46.1,5.66,5.85,2,94.74,0.48,66.9,66.36,14.7,11,1846.19,0,333.12
Lüfer (Bluefish),Black Sea,10,690.43,42.19,5.03,4.84,4,100.0,0.91,59.52,29.14,12.27,22,4596.32,0,396.17
Palamut (Bonito),Mediterranean Sea,1,660.81,39.91,5.03,5.38,5,95.01,0.47,67.54,11.04,24.84,26,4990.65,0,281.31
Lüfer (Bluefish),Mediterranean Sea,8,558.84,34.01,4.84,4.72,4,94.04,0.66,49.44,18.19,24.85,25,3968.09,0,351.92
Lüfer (Bluefish),Aegean Sea,11,492.38,26.35,3.68,4.35,14,96.7,0.92,55.82,68.24,12.01,10,803.67,0,337.13
Kalkan (Turbot),Aegean Sea,4,727.06,40.74,5.14,5.17,3,100.0,0.47,58.3,25.66,22.33,24,2860.8,0,291.78
Palamut (Bonito),Mediterranean Sea,12,729.04,41.45,5.83,6.0,6,100.0,0.47,74.89,63.32,24.45,10,1871.95,0,292.98
Lüfer (Bluefish),Mediterranean Sea,4,462.59,26.41,3.39,4.14,14,100.0,0.43,48.41,57.1,17.71,13,1159.97,0,269.39
Hamsi (Anchovy),Marmara Sea,6,178.84,11.27,1.8,2.03,5,91.82,0.31,35.05,65.03,24.57,10,1864.81,0,180.0
İstavrit (Horse Mackerel),Mediterranean Sea,5,349.17,19.8,2.75,2.71,3,96.04,0.73,47.97,73.92,18.51,10,642.61,0,388.08
Hamsi (Anchovy),Aegean Sea,4,149.05,10.54,1.08,1.31,8,83.4,0.47,36.1,43.8,17.26,15,2583.43,0,202.89
Palamut (Bonito),Mediterranean Sea,1,783.43,45.37,5.72,6.09,5,84.08,0.73,57.59,62.22,20.63,14,1367.21,0,427.21
Çipura (Sea Bream),Black Sea,3,544.68,32.16,3.77,4.49,10,91.87,0.35,58.4,50.6,9.56,12,1651.08,0,251.02
Hamsi (Anchovy),Marmara Sea,9,176.24,9.8,1.43,1.73,11,88.8,0.49,40.96,14.03,21.74,23,3040.17,0,210.07
Levrek (Sea Bass),Marmara Sea,11,672.46,39.79,5.35,5.81,13,70.54,0.64,53.16,47.2,24.9,16,1121.39,0,282.15
Hamsi (Anchovy),Marmara Sea,7,119.71,10.14,0.9,1.04,19,93.62,0.7,26.47,70.93,24.84,11,1586.8,0,195.39
Kalkan (Turbot),Black Sea,2,734.74,42.42,5.51,6.1,16,81.03,0.51,54.47,75.72,21.27,10,1580.88,0,289.15
Palamut (Bonito),Mediterranean Sea,7,770.32,43.28,6.45,6.15,1,100.0,0.47,76.67,77.14,21.02,10,1800.31,0,371.8
Kalkan (Turbot),Aegean Sea,4,680.29,37.58,4.98,5.49,12,91.61,0.71,58.35,8.31,23.57,26,5000.0,0,282.61
Kalkan (Turbot),Black Sea,6,610.62,33.1,4.22,4.43,1,93.01,0.31,49.4,8.47,8.67,28,3449.82,0,281.59
İstavrit (Horse Mackerel),Aegean Sea,7,379.62,24.02,2.46,3.41,14,88.13,0.39,36.25,78.27,18.07,10,1528.03,1,221.67
Kalkan (Turbot),Black Sea,10,713.93,39.74,5.96,5.07,11,85.78,0.65,69.62,37.61,14.41,18,1428.26,0,332.3
Çipura (Sea Bream),Mediterranean Sea,7,585.25,31.53,5.41,4.64,3,78.69,0.95,51.58,14.11,26.07,24,4773.57,1,363.58
Palamut (Bonito),Aegean Sea,11,557.86,34.67,4.34,3.84,3,100.0,0.3,51.31,75.73,20.05,10,638.15,0,290.36
İstavrit (Horse Mackerel),Mediterranean Sea,5,339.06,18.35,2.53,2.51,12,95.23,0.75,42.17,33.52,27.33,16,2438.23,0,283.82
Çipura (Sea Bream),Black Sea,6,440.81,26.06,3.22,4.74,9,90.11,0.98,47.71,55.08,21.05,11,1181.44,0,400.49
Levrek (Sea Bass),Marmara Sea,3,492.18,30.85,4.11,3.98,6,90.87,0.58,47.42,71.94,14.87,10,1845.18,0,331.82
İstavrit (Horse Mackerel),Black Sea,10,210.93,16.06,1.41,2.98,15,78.91,0.54,39.51,59.98,15.71,10,1528.84,0,180.0
Kalkan (Turbot),Mediterranean Sea,1,642.68,36.15,5.13,5.04,14,90.47,0.57,60.66,8.93,21.0,27,3131.36,0,266.19
Palamut (Bonito),Marmara Sea,11,691.73,38.89,4.81,5.59,19,82.42,0.68,70.86,55.89,18.23,13,2169.86,0,302.69
İstavrit (Horse Mackerel),Aegean Sea,4,212.37,13.47,2.27,2.32,5,91.65,0.35,45.4,34.98,23.63,20,3851.41,0,210.31
Levrek (Sea Bass),Mediterranean Sea,12,692.87,39.17,5.12,5.53,4,88.69,0.51,73.49,66.12,26.95,10,1536.26,0,344.99
Palamut (Bonito),Aegean Sea,9,525.32,30.66,4.45,4.24,14,76.98,0.71,53.75,22.24,20.73,20,3392.71,0,313.86
Kalkan (Turbot),Mediterranean Sea,2,795.17,46.69,6.62,5.95,17,73.09,0.5,61.57,71.28,17.45,10,924.44,0,227.48
Palamut (Bonito),Black Sea,11,792.9,48.27,6.02,6.21,15,86.93,0.7,60.08,63.95,17.81,13,2196.12,0,323.72
Çipura (Sea Bream),Mediterranean Sea,10,552.38,33.27,4.06,3.97,6,99.32,0.58,46.45,69.63,25.38,10,831.74,0,342.87
Hamsi (Anchovy),Aegean Sea,10,174.46,9.97,1.45,1.66,13,93.82,0.33,32.63,47.3,16.16,19,1684.39,0,180.0
Hamsi (Anchovy),Aegean Sea,7,159.14,7.28,1.66,1.07,13,79.39,0.53,35.05,60.15,12.02,11,1588.34,0,230.03
Çipura (Sea Bream),Black Sea,3,534.6,32.7,5.29,3.87,18,75.85,0.42,62.02,71.1,19.67,10,812.53,0,180.0
Levrek (Sea Bass),Black Sea,1,677.66,39.68,5.18,5.16,3,97.28,0.63,56.71,39.06,13.0,12,2188.01,0,377.62
İstavrit (Horse Mackerel),Aegean Sea,9,278.3,16.13,2.7,2.04,12,94.49,0.56,44.03,41.22,18.02,16,3046.55,0,248.13
Lüfer (Bluefish),Black Sea,5,698.62,40.44,5.41,5.67,8,94.23,0.72,52.61,40.2,15.85,16,2402.37,0,378.77
İstavrit (Horse Mackerel),Aegean Sea,9,228.11,14.42,2.23,1.68,11,99.69,0.34,30.5,31.45,18.02,21,2989.72,0,180.0
Lüfer (Bluefish),Aegean Sea,10,638.12,33.35,4.93,5.57,8,95.11,0.9,57.97,21.07,16.97,26,3848.08,0,391.72
Palamut (Bonito),Aegean Sea,12,700.56,37.8,5.75,5.9,2,100.0,0.32,62.45,16.13,20.4,24,4120.93,0,254.14
Levrek (Sea Bass),Black Sea,7,698.17,42.46,5.83,4.98,16,76.31,0.41,57.28,62.81,12.55,10,699.21,0,192.98
Hamsi (Anchovy),Aegean Sea,1,144.19,9.28,0.82,0.96,1,97.18,0.87,23.79,61.69,12.77,10,725.72,0,393.27
Levrek (Sea Bass),Black Sea,2,524.25,30.26,5.34,3.57,5,91.32,0.39,64.58,41.98,10.21,16,3017.05,0,272.33
Çipura (Sea Bream),Aegean Sea,11,575.41,33.64,4.88,4.42,10,79.18,0.45,66.74,70.27,18.67,10,998.8,0,252.9
Palamut (Bonito),Mediterranean Sea,3,613.76,36.01,4.63,5.44,15,85.58,0.48,65.73,45.74,25.98,15,2079.88,0,285.41
Hamsi (Anchovy),Black Sea,8,179.25,11.44,1.94,1.36,16,87.43,0.34,44.97,22.7,17.26,21,1784.68,0,180.0
Kalkan (Turbot),Mediterranean Sea,1,791.3,43.86,6.2,6.08,13,96.74,0.31,55.97,48.31,24.03,15,1669.89,0,247.74
Çipura (Sea Bream),Marmara Sea,8,448.28,24.99,4.17,3.53,16,89.56,0.85,50.61,47.85,18.46,16,1294.57,0,325.42
Kalkan (Turbot),Marmara Sea,9,735.65,42.05,6.19,5.82,6,100.0,0.43,59.53,51.24,18.05,12,1589.62,0,348.18
İstavrit (Horse Mackerel),Mediterranean Sea,7,304.94,21.08,3.3,2.49,16,88.02,0.38,49.37,71.9,27.62,12,1664.68,0,180.0
Kalkan (Turbot),Aegean Sea,12,637.74,37.52,4.82,4.65,15,91.26,0.67,63.34,31.32,20.89,22,2764.47,0,285.76
Levrek (Sea Bass),Marmara Sea,7,666.82,37.44,5.15,5.19,1,100.0,0.52,61.35,42.98,18.31,17,3003.06,0,369.19
Hamsi (Anchovy),Black Sea,7,108.44,8.59,1.49,0.14,3,88.53,0.57,31.75,78.55,8.23,10,853.15,0,328.94
Lüfer (Bluefish),Mediterranean Sea,9,668.71,40.67,5.77,5.67,17,90.25,0.82,64.42,25.11,26.3,22,1867.98,0,295.22
Kalkan (Turbot),Black Sea,12,601.78,34.05,4.62,4.64,1,94.4,0.38,52.66,14.05,11.46,22,3292.12,0,359.6
Palamut (Bonito),Marmara Sea,11,767.12,45.0,5.66,5.41,9,89.01,0.68,69.99,30.8,20.62,22,4147.02,0,326.95
Levrek (Sea Bass),Aegean Sea,6,674.65,39.63,4.97,5.48,4,93.11,0.52,73.11,60.28,18.16,13,1979.15,0,354.57
Hamsi (Anchovy),Aegean Sea,2,124.47,6.05,1.22,1.43,9,87.71,0.91,38.94,69.43,23.14,10,1251.14,0,335.08
Lüfer (Bluefish),Mediterranean Sea,1,593.91,37.64,5.16,4.42,7,97.26,0.4,47.37,42.62,26.13,14,2703.85,0,253.55
Levrek (Sea Bass),Black Sea,8,462.7,29.67,2.83,4.14,6,100.0,0.75,60.98,76.53,18.5,10,1621.03,0,350.38
Çipura (Sea Bream),Black Sea,12,519.84,30.13,4.12,3.93,4,94.02,0.48,43.98,26.07,21.15,22,2009.87,0,272.62
Palamut (Bonito),Aegean Sea,7,756.53,42.71,5.24,6.06,16,82.67,0.47,72.41,23.65,22.89,21,3935.7,0,247.42
Lüfer (Bluefish),Aegean Sea,12,690.26,38.04,5.38,4.41,13,95.79,0.57,69.43,79.4,24.17,10,1379.25,0,288.95
Hamsi (Anchovy),Aegean Sea,6,176.89,9.46,1.21,1.34,17,86.5,0.7,34.31,45.05,20.41,14,971.21,0,227.3
Palamut (Bonito),Marmara Sea,5,517.22,30.21,4.55,3.35,6,86.36,0.56,53.77,43.17,18.52,16,3019.78,0,275.26
Lüfer (Bluefish),Mediterranean Sea,7,593.08,34.27,5.09,4.25,13,80.14,0.57,51.95,22.87,20.84,24,3658.56,0,235.04
Çipura (Sea Bream),Black Sea,10,471.01,26.62,3.72,3.47,15,86.4,0.7,40.11,7.82,9.29,27,3698.0,0,252.51
Kalkan (Turbot),Marmara Sea,4,713.94,40.72,5.58,5.39,8,92.04,0.62,75.2,11.63,13.75,26,3202.2,0,314.6
Palamut (Bonito),Aegean Sea,12,607.39,38.25,5.15,5.61,5,100.0,0.49,61.79,55.26,12.2,13,2486.27,0,314.37
Levrek (Sea Bass),Aegean Sea,4,476.26,29.93,3.75,3.61,17,72.19,0.65,56.07,66.3,13.98,10,1149.22,0,242.96
Kalkan (Turbot),Mediterranean Sea,8,748.2,44.18,5.68,5.44,10,100.0,0.36,53.11,12.56,17.98,23,4878.48,0,260.86
Kalkan (Turbot),Black Sea,3,614.55,35.54,4.91,4.86,16,87.47,0.66,64.86,72.97,14.89,10,1493.29,0,296.25
İstavrit (Horse Mackerel),Mediterranean Sea,2,360.29,19.94,2.5,2.5,16,72.77,0.35,34.23,41.43,25.99,14,2351.57,0,180.0
Hamsi (Anchovy),Mediterranean Sea,8,171.22,11.32,2.06,1.56,3,100.0,0.69,45.04,6.8,21.92,25,5000.0,0,281.15
Palamut (Bonito),Black Sea,4,664.86,37.61,5.33,5.31,15,86.72,0.47,59.95,36.08,17.97,15,1092.43,0,232.94
Lüfer (Bluefish),Marmara Sea,4,457.88,27.57,3.76,3.81,11,87.47,0.53,57.07,21.78,15.34,22,3803.19,0,213.3
Lüfer (Bluefish),Marmara Sea,2,603.79,35.14,4.26,4.6,4,95.62,0.73,46.52,74.77,20.1,10,1873.54,0,381.64
İstavrit (Horse Mackerel),Marmara Sea,8,209.0,12.58,1.31,1.66,18,79.29,0.41,46.91,25.85,16.37,26,2302.8,0,180.0
Palamut (Bonito),Black Sea,11,548.72,33.15,4.42,4.67,13,91.46,0.62,52.24,26.46,21.68,24,3940.39,0,245.71
Çipura (Sea Bream),Aegean Sea,4,480.29,27.75,3.99,3.83,5,100.0,0.57,41.52,29.24,18.36,22,2519.84,0,342.91
Lüfer (Bluefish),Mediterranean Sea,5,541.22,32.55,4.0,3.83,8,84.68,0.6,42.33,11.03,22.96,22,3960.76,0,272.54
Kalkan (Turbot),Mediterranean Sea,7,711.87,40.64,5.86,5.84,4,100.0,0.75,67.93,15.48,22.79,24,4876.28,0,358.38
Palamut (Bonito),Black Sea,4,553.03,30.73,4.22,4.55,17,80.13,0.67,46.2,31.4,21.16,19,3843.56,0,230.93
Palamut (Bonito),Aegean Sea,10,502.82,28.89,3.83,4.06,18,76.0,0.6,53.31,77.69,14.3,10,645.26,0,245.23
İstavrit (Horse Mackerel),Mediterranean Sea,2,353.69,22.16,2.74,3.05,13,98.64,0.43,53.1,8.74,26.1,26,2932.53,0,228.14
Lüfer (Bluefish),Black Sea,8,470.42,28.55,3.8,2.96,15,97.77,0.5,39.99,72.05,13.9,10,890.03,0,202.68
Palamut (Bonito),Black Sea,5,777.29,44.58,6.2,5.38,3,99.94,0.69,64.83,73.26,19.17,12,2002.66,0,382.24
Lüfer (Bluefish),Mediterranean Sea,1,558.77,34.57,5.37,3.95,5,87.51,0.63,43.73,36.54,27.33,22,1639.08,0,313.6
Hamsi (Anchovy),Mediterranean Sea,3,136.42,9.48,1.45,0.91,2,100.0,0.48,32.73,61.12,19.57,10,1563.49,0,304.52
Levrek (Sea Bass),Aegean Sea,4,691.43,39.82,5.44,5.74,12,91.19,0.55,61.39,31.61,23.25,20,2973.87,0,290.03
Palamut (Bonito),Marmara Sea,5,795.07,43.7,5.35,5.9,12,99.25,0.41,69.06,52.42,24.96,10,665.21,0,262.63
Çipura (Sea Bream),Marmara Sea,3,549.78,30.53,4.36,3.75,6,98.28,0.56,47.7,5.63,12.99,27,3135.87,0,312.69
Lüfer (Bluefish),Black Sea,3,483.77,26.28,3.4,4.58,11,71.5,0.71,47.03,64.11,17.51,11,1378.47,0,255.0
Levrek (Sea Bass),Black Sea,6,561.12,32.83,4.79,5.3,12,79.73,0.43,59.28,49.07,18.1,13,2601.83,0,249.01
Hamsi (Anchovy),Black Sea,6,126.26,9.89,2.44,0.99,19,95.35,0.61,26.0,70.37,19.02,10,1617.37,1,180.0
Lüfer (Bluefish),Marmara Sea,9,697.21,35.18,5.09,5.86,4,95.23,0.95,58.81,12.39,18.17,28,5000.0,0,418.11
İstavrit (Horse Mackerel),Aegean Sea,4,371.22,24.32,2.73,2.75,10,100.0,0.71,36.19,55.13,16.7,12,1512.99,0,353.93
Levrek (Sea Bass),Black Sea,7,410.78,25.74,3.79,2.94,18,75.0,0.35,52.18,16.54,15.1,23,1889.37,0,180.0
Levrek (Sea Bass),Marmara Sea,5,592.86,38.07,4.81,3.99,18,98.06,0.38,56.1,48.11,21.89,18,3072.08,0,232.62
Kalkan (Turbot),Black Sea,10,717.51,39.77,5.48,5.81,19,79.44,0.35,62.36,64.64,8.21,12,1167.11,0,208.2
Palamut (Bonito),Aegean Sea,8,663.5,36.8,5.26,5.74,4,91.28,0.52,68.56,49.25,21.09,15,2219.12,1,355.51
Levrek (Sea Bass),Mediterranean Sea,9,409.67,27.32,2.59,2.96,11,100.0,0.38,43.83,63.1,20.78,13,1430.23,0,198.72
